Year,Car_age,MILEAGE,Car_Price
2020,3,60432,39995
2016,7,118951,19950
2022,1,14609,34116
2020,3,65152,28155
2021,2,16095,42273
2019,4,43535,35950
2018,5,63312,29694
2011,12,85650,26186
2017,6,85376,31795
2015,8,87659,26995
2017,6,75602,32995
2021,2,38393,38995
2022,1,13915,44616
